year,month,date,temp_mean,temp_min,temp_max,temp_avg_daily_min,temp_avg_daily_max,demand_mean,demand_max,demand_avg_daily_max,total_consumption,pv_capacity,population,gsp
2014,12,2014-12-01,19.628897849462366,0.7,33.3,15.635483870967741,23.883870967741935,7498.810920698925,11421.16,8677.947096774193,5579115.325,824166.3360000001,7562171,49417.416666666664
2015,1,2015-01-01,20.525721961047683,3.5,37.3,15.558064516129033,25.748387096774195,7957.298582941571,11574.02,9425.055483870967,5924208.795,837292.1700000002,7573357,49417.416666666664
2015,2,2015-02-01,20.23296130952381,2.5,30.5,15.942857142857141,24.74642857142857,8057.36265625,11625.47,9403.984642857144,5414547.705,854649.3020000001,7584544,49417.416666666664
2015,3,2015-03-01,17.95356182795699,3.3,32.4,13.306451612903226,23.003225806451614,7732.5226478494615,11410.1,8924.848709677419,5752996.85,871015.4900000001,7595731,49417.416666666664
2015,4,2015-04-01,15.984583333333333,1.9,33.2,11.793333333333333,21.02,7797.819673611111,11463.39,9263.615333333333,5614430.165,883627.9370000002,7602543,49417.416666666664
2015,5,2015-05-01,14.192540322580646,1.9,36.1,9.141935483870967,19.96451612903226,8072.892836021505,11755.17,9695.800645161291,6006232.27,898675.4470000002,7609355,49417.416666666664
2015,6,2015-06-01,13.601180555555556,0.7,35.4,8.639999999999999,19.646666666666665,8348.647256944445,11677.38,10130.381333333333,6011026.025,913987.6470000001,7616168,50777.75
2015,7,2015-07-01,12.878427419354837,0.7,29.5,7.941935483870967,18.58709677419355,8575.78806451613,12137.29,10384.522580645162,6380386.32,929676.3300000001,7625886,50777.75
2015,8,2015-08-01,14.782930107526882,2.6,32.9,9.570967741935483,20.280645161290323,8048.255907258064,11533.73,9691.93612903226,5987902.395,944462.2890000001,7635605,50777.75
2015,9,2015-09-01,15.968958333333333,2.1,32.9,10.826666666666666,21.236666666666668,7832.340229166666,11283.72,9371.331,5639284.965,958588.8600000001,7645324,50777.75
2015,10,2015-10-01,18.350403225806453,2.9,31.2,13.370967741935484,23.203225806451613,7735.5708736559145,11298.69,8870.619999999999,5755264.73,973222.702,7654016,50777.75
2015,11,2015-11-01,19.888047255038224,2.5,40.4,14.946666666666665,25.290000000000003,7897.966719944406,12601.82,9353.998666666668,5682587.055,987047.6900000001,7662708,50777.75
2015,12,2015-12-01,19.403494623655916,2.4,32.8,14.290322580645162,24.467741935483872,7705.161989247311,11329.6,9004.83935483871,5732640.52,1000577.206,7671401,50777.75
2016,1,2016-01-01,20.93310946944258,4.9,39.1,16.083870967741937,26.270967741935483,8080.951544660846,12777.07,9617.52677419355,6016268.425,1009606.916,7683404,50777.75
2016,2,2016-02-01,21.250933908045976,4.3,37.7,15.875862068965516,26.74137931034483,8329.686271551724,13458.63,10031.958620689655,5797461.645,1022425.193,7695408,50777.75
2016,3,2016-03-01,19.62896505376344,3.3,30.8,15.32258064516129,24.287096774193547,7732.536895161291,11660.81,8945.911612903226,5753007.45,1035108.536,7707412,50777.75
2016,4,2016-04-01,18.084305555555556,1.2,30.5,13.086666666666668,23.39,7683.7090625,11980.94,9087.646,5532270.525,1047949.548,7715894,50777.75
2016,5,2016-05-01,15.824260752688172,3.8,33.1,10.0,22.283870967741933,7892.265860215053,11505.27,9479.022258064517,5871845.8,1061945.395,7724376,50777.75
2016,6,2016-06-01,14.438888888888888,0.8,34.3,9.493333333333334,20.09,8432.898833333333,12599.78,10227.321,6071687.16,1074209.483,7732858,52663.416666666664
2016,7,2016-07-01,15.195107033639145,2.9,30.4,9.796428571428573,20.635714285714283,8296.739426605505,11701.21,9999.649642857143,5426067.585,1086986.564,7744543,52663.416666666664
2016,8,2016-08-01,14.838690074274139,3.5,29.2,9.3,20.59032258064516,8227.57777852802,11663.09,9866.729677419355,6092521.345,1100907.539,7756229,52663.416666666664
2016,9,2016-09-01,16.77402777777778,4.4,32.0,12.156666666666666,21.56,7739.624208333333,12191.08,9124.76,5572529.43,1115301.925,7767915,52663.416666666664
2016,10,2016-10-01,18.11137440758294,6.7,32.2,12.23225806451613,23.706451612903226,7433.529654705485,11287.87,8584.270967741937,5489661.65,1129418.816,7777151,52663.416666666664
2016,11,2016-11-01,19.762994350282487,6.4,34.6,14.703333333333335,24.983333333333334,7805.897168079096,11713.57,9140.028333333332,5526575.195,1146089.1460000002,7786388,52663.416666666664
2016,12,2016-12-01,21.46081989247312,4.6,38.2,16.503225806451614,26.92258064516129,8064.449549731183,12297.62,9636.598387096774,5999950.465,1167231.8660000002,7795625,52663.416666666664
2017,1,2017-01-01,21.784687709872397,4.1,39.7,17.280645161290323,27.01290322580645,8562.532464741436,13947.7,10268.657419354839,6374805.42,1178333.938,7808237,52663.416666666664
