,Year,Month,temp_mean,temp_min,temp_max,demand_mean,demand_sum,Cumulative,Population,GSP
17,2011,6,14.051947148817803,2.0,32.6,9103.968511821975,13091506.72,345015.905,7218529,46120.0
18,2011,7,12.975604838709678,3.7,28.9,9313.327392473118,13858231.16,349928.416,7225528,46120.0
19,2011,8,14.488440860215054,1.0,32.8,8884.447170698924,13220057.39,354219.08800000005,7232528,46120.0
20,2011,9,16.189999999999998,3.7,32.0,8540.500645833334,12298320.93,358342.85900000005,7239528,46120.0
21,2011,10,17.76788617886179,2.9,32.4,8400.423157181573,12399024.58,363021.45900000003,7245926,46120.0
22,2011,11,18.97517385257302,2.0,36.0,8598.75576495132,12365010.79,369051.16400000005,7252324,46120.0
23,2011,12,18.45967741935484,3.4,29.1,8166.682385752689,12152023.39,374201.22200000007,7258722,46120.0
24,2012,1,20.188298587760592,2.9,35.6,8374.710403496973,12453194.37,378395.97300000006,7267475,46120.0
25,2012,2,19.546264367816093,2.0,31.2,8432.969856321839,11738694.04,384268.55500000005,7276228,46120.0
26,2012,3,18.305799055967633,3.1,29.5,8189.979480782198,12145739.57,392070.20600000006,7284982,46120.0
27,2012,4,17.42811188811189,1.3,35.5,8150.186230769231,11654766.31,400457.75100000005,7291402,46120.0
28,2012,5,14.395488215488214,1.6,33.1,8645.950686868686,12839236.77,417835.41800000006,7297823,46120.0
29,2012,6,13.660848400556327,1.7,28.6,8806.148560500696,12663241.63,448520.6060000001,7304244,47240.166666666664
30,2012,7,13.128059499661935,3.9,26.8,8611.953772819474,12737079.63,456671.4470000001,7312034,47240.166666666664
31,2012,8,14.198520511096167,1.0,28.7,8356.825978480161,12426600.23,465721.5990000001,7319824,47240.166666666664
32,2012,9,15.898749131341209,4.2,32.0,7866.8557400972895,11320405.41,474826.8120000001,7327614,47240.166666666664
33,2012,10,16.82394082044385,4.7,32.3,7812.742078009415,11617547.47,485606.7150000001,7336139,47240.166666666664
34,2012,11,18.158333333333335,8.8,33.4,7951.803291666667,11450596.74,498295.8240000001,7344664,47240.166666666664
35,2012,12,19.57121721587088,7.6,35.0,7843.319946200403,11663016.76,518790.65700000006,7353189,47240.166666666664
36,2013,1,20.7012760241773,5.9,44.4,8118.076689053056,12087816.19,528341.4730000001,7363111,47240.166666666664
37,2013,2,19.736092468307234,5.1,30.1,8050.0081058911255,10795060.87,539671.2270000001,7373034,47240.166666666664
38,2013,3,19.324798387096774,5.1,34.1,7839.7367473118275,11665528.28,550556.7100000001,7382957,47240.166666666664
39,2013,4,16.625920778318278,2.8,28.7,7710.538888116748,11095465.46,560398.4040000001,7389982,47240.166666666664
40,2013,5,14.834408602150537,4.1,30.5,8160.771599462366,12143228.14,572108.4150000002,7397007,47240.166666666664
41,2013,6,14.289652777777777,3.1,31.1,8437.779833333334,12150402.96,581766.5600000002,7404032,48283.166666666664
42,2013,7,14.537701612903225,1.7,31.8,8266.809489247311,12301012.52,593321.7340000002,7412989,48283.166666666664
43,2013,8,15.650975117686617,1.8,40.3,8179.338648285138,12162676.57,604646.1700000002,7421946,48283.166666666664
44,2013,9,17.44576388888889,5.6,32.4,7726.126145833334,11125621.65,615767.8360000001,7430904,48283.166666666664
45,2013,10,18.73891129032258,6.1,35.7,7703.886948924731,11463383.78,628583.7930000002,7438915,48283.166666666664
